Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
DIRR3.SA,19.55,2023/09/19,11:28 BRT,-0.20000076,19.74,19.82,19.41,609800,,,,,,,
BEES3.SA,8.65,2023/09/19,11:09 BRT,-0.05000019,8.68,8.73,8.65,2300,,,,,,,
CPFE3.SA,35.53,2023/09/19,11:28 BRT,-0.20000076,35.84,35.93,35.4,209300,,,,,,,
CGAS3.SA,120.0,2023/09/19,11:09 BRT,0.0,120.0,120.0,120.0,100,,,,,,,
CPLE6.SA,9.08,2023/09/19,11:29 BRT,0.19999981,9.08,9.2,8.98,8675800,,,,,,,
LEVE3.SA,51.61,2023/09/19,11:25 BRT,0.58000183,51.03,51.66,51.03,36900,,,,,,,
BRAP4.SA,23.26,2023/09/19,11:29 BRT,0.10000038,23.19,23.38,23.07,336200,,,,,,,
KEPL3.SA,11.87,2023/09/19,11:28 BRT,-0.09000015,12.01,12.02,11.78,254300,,,,,,,
GOAU4.SA,11.53,2023/09/19,11:29 BRT,-0.020000458,11.55,11.6,11.46,814700,,,,,,,
FESA4.SA,49.9,2023/09/19,11:26 BRT,-0.109996796,50.21,50.21,49.57,14300,,,,,,,
BAZA3.SA,82.0,2023/09/19,11:14 BRT,1.1299973,80.9,82.07,80.9,1500,,,,,,,
GGBR4.SA,24.88,2023/09/19,11:29 BRT,-0.060001373,24.96,25.06,24.75,1673000,,,,,,,
UNIP6.SA,84.36,2023/09/19,11:27 BRT,1.1299973,83.31,84.76,83.31,58200,,,,,,,
ENAT3.SA,17.79,2023/09/19,11:29 BRT,-0.15999985,18.08,18.23,17.72,392100,,,,,,,
EALT4.SA,8.63,2023/09/19,11:28 BRT,-0.14999962,8.74,8.82,8.63,9800,,,,,,,
CEEB5.SA,54.6,2023/09/08,17:05 BRT,0.0,0.0,54.6,54.6,0,,,,,,,
AGRO3.SA,28.31,2023/09/19,11:29 BRT,0.15999985,28.25,28.65,28.15,241700,,,,,,,
CSRN3.SA,24.5,2023/09/19,11:15 BRT,-1.4899998,24.5,24.5,24.5,400,,,,,,,
EKTR4.SA,39.0,2023/09/13,14:34 BRT,0.0,0.0,39.0,39.0,0,,,,,,,
PETR4.SA,34.35,2023/09/19,11:29 BRT,0.2199974,34.21,34.45,34.07,9274500,,,,,,,
